,N,algo,opt_level,time,rate
0,20,Regular,0,5.3867e-05,297030000.0
1,20,Blocked,0,3.9094e-05,409270000.0
2,100,Regular,0,0.0061618,324580000.0
3,100,Blocked,0,0.0049126,407120000.0
4,200,Regular,0,0.050617,316100000.0
5,200,Blocked,0,0.03955,404560000.0
6,800,Regular,0,3.7693,271670000.0
7,800,Blocked,0,2.5404,403090000.0
8,1000,Regular,0,8.5074,235090000.0
9,1000,Blocked,0,5.0844,393360000.0
10,1200,Regular,0,14.334,241110000.0
11,1200,Blocked,0,8.6465,399700000.0
12,1600,Regular,0,39.108,209470000.0
13,1600,Blocked,0,20.822,393430000.0
14,1800,Regular,0,49.342,236390000.0
15,1800,Blocked,0,29.603,394010000.0
16,2000,Regular,0,73.421,217920000.0
17,2000,Blocked,0,39.465,405420000.0
18,20,Regular,1,2.2258e-05,718860000.0
19,20,Blocked,1,8.5083e-06,1880500000.0
20,100,Regular,1,0.0029149,686120000.0
21,100,Blocked,1,0.0010533,1898800000.0
22,200,Regular,1,0.024103,663810000.0
23,200,Blocked,1,0.0083208,1922900000.0
24,800,Regular,1,1.848,554100000.0
25,800,Blocked,1,0.56706,1805800000.0
26,1000,Regular,1,3.9598,505070000.0
27,1000,Blocked,1,1.0683,1872000000.0
28,1200,Regular,1,6.8025,508050000.0
29,1200,Blocked,1,1.8329,1885600000.0
30,1600,Regular,1,18.917,433040000.0
31,1600,Blocked,1,4.3343,1890000000.0
32,1800,Regular,1,24.334,479330000.0
33,1800,Blocked,1,6.1716,1890000000.0
34,2000,Regular,1,35.448,451360000.0
35,2000,Blocked,1,8.888,1800200000.0
36,20,Regular,2,2.2791e-05,702050000.0
37,20,Blocked,2,8.307e-06,1926100000.0
38,100,Regular,2,0.0029367,681040000.0
39,100,Blocked,2,0.0010406,1922000000.0
40,200,Regular,2,0.025058,638520000.0
41,200,Blocked,2,0.0084913,1884300000.0
42,800,Regular,2,1.7883,572630000.0
43,800,Blocked,2,0.54927,1864300000.0
44,1000,Regular,2,3.839,520970000.0
45,1000,Blocked,2,1.0795,1852700000.0
46,1200,Regular,2,6.7285,513630000.0
47,1200,Blocked,2,1.8481,1870000000.0
48,1600,Regular,2,16.725,489790000.0
49,1600,Blocked,2,4.4619,1836000000.0
50,1800,Regular,2,23.264,501380000.0
51,1800,Blocked,2,6.3441,1838500000.0
52,2000,Regular,2,32.73,488840000.0
53,2000,Blocked,2,8.5099,1880200000.0
54,20,Regular,3,2.4883e-05,643020000.0
55,20,Blocked,3,8.5671e-06,1867600000.0
56,100,Regular,3,0.0029237,684070000.0
57,100,Blocked,3,0.0010633,1880900000.0
58,200,Regular,3,0.024708,647550000.0
59,200,Blocked,3,0.008564,1868300000.0
60,800,Regular,3,1.675,611350000.0
61,800,Blocked,3,0.54817,1868000000.0
62,1000,Regular,3,3.6861,542580000.0
63,1000,Blocked,3,1.0787,1854000000.0
64,1200,Regular,3,6.3099,547710000.0
65,1200,Blocked,3,1.8494,1868700000.0
66,1600,Regular,3,16.319,501990000.0
67,1600,Blocked,3,4.3873,1867200000.0
68,1800,Regular,3,24.025,485490000.0
69,1800,Blocked,3,6.4377,1811800000.0
70,2000,Regular,3,37.939,421730000.0
71,2000,Blocked,3,8.591,1862400000.0
