Running with 32 MPI processes
MPI wall clock resolution: 1.0000e-06 seconds

test	i	j	m	time
ppnb	0	1	0	3.1202e-06
ppb	0	1	0	3.1531e-06
h2h	0	1	0	1.9140e-06
ppnb	0	1	4	3.1230e-06
ppb	0	1	4	3.4201e-06
h2h	0	1	4	2.0390e-06
ppnb	0	1	8	3.1381e-06
ppb	0	1	8	3.3879e-06
h2h	0	1	8	2.0308e-06
ppnb	0	1	16	3.1390e-06
ppb	0	1	16	3.3860e-06
h2h	0	1	16	2.0230e-06
ppnb	0	1	32	3.2141e-06
ppb	0	1	32	3.3770e-06
h2h	0	1	32	2.0239e-06
ppnb	0	1	64	3.1831e-06
ppb	0	1	64	3.3791e-06
h2h	0	1	64	2.0080e-06
ppnb	0	1	128	3.3000e-06
ppb	0	1	128	3.4802e-06
h2h	0	1	128	2.0781e-06
ppnb	0	1	256	3.3729e-06
ppb	0	1	256	3.5391e-06
h2h	0	1	256	2.0938e-06
ppnb	0	1	512	3.5491e-06
ppb	0	1	512	3.7339e-06
h2h	0	1	512	2.1980e-06
ppnb	0	1	1024	3.9580e-06
ppb	0	1	1024	4.1680e-06
h2h	0	1	1024	2.4161e-06
ppnb	0	1	2048	4.5090e-06
ppb	0	1	2048	4.7820e-06
h2h	0	1	2048	2.7370e-06
ppnb	0	1	4096	5.9659e-06
ppb	0	1	4096	6.1550e-06
h2h	0	1	4096	3.5350e-06
ppnb	0	1	8192	1.3889e-05
ppb	0	1	8192	1.3997e-05
h2h	0	1	8192	8.8348e-06
ppnb	0	1	16384	1.6096e-05
ppb	0	1	16384	1.6409e-05
h2h	0	1	16384	1.0275e-05
ppnb	0	1	32768	2.0765e-05
ppb	0	1	32768	2.0928e-05
h2h	0	1	32768	1.3258e-05
ppnb	0	1	65536	3.1737e-05
ppb	0	1	65536	3.1985e-05
h2h	0	1	65536	1.9209e-05
ppnb	0	1	131072	5.1526e-05
ppb	0	1	131072	5.1783e-05
h2h	0	1	131072	3.0725e-05
ppnb	0	1	262144	9.2292e-05
ppb	0	1	262144	9.2564e-05
h2h	0	1	262144	5.3638e-05
ppnb	0	31	0	4.1139e-06
ppb	0	31	0	4.2329e-06
h2h	0	31	0	2.5849e-06
ppnb	0	31	4	4.1509e-06
ppb	0	31	4	4.4689e-06
h2h	0	31	4	2.6371e-06
ppnb	0	31	8	4.1509e-06
ppb	0	31	8	4.4138e-06
h2h	0	31	8	2.6450e-06
ppnb	0	31	16	4.1938e-06
ppb	0	31	16	4.4470e-06
h2h	0	31	16	2.6200e-06
ppnb	0	31	32	4.2541e-06
ppb	0	31	32	4.4370e-06
h2h	0	31	32	2.6529e-06
ppnb	0	31	64	4.3001e-06
ppb	0	31	64	4.4761e-06
h2h	0	31	64	2.6619e-06
ppnb	0	31	128	4.3430e-06
ppb	0	31	128	4.5011e-06
h2h	0	31	128	2.6381e-06
ppnb	0	31	256	4.4930e-06
ppb	0	31	256	4.7090e-06
h2h	0	31	256	2.7719e-06
ppnb	0	31	512	4.6349e-06
ppb	0	31	512	4.8029e-06
h2h	0	31	512	2.7659e-06
ppnb	0	31	1024	5.0628e-06
ppb	0	31	1024	5.2299e-06
h2h	0	31	1024	2.9409e-06
ppnb	0	31	2048	5.6748e-06
ppb	0	31	2048	5.8780e-06
h2h	0	31	2048	3.1860e-06
ppnb	0	31	4096	7.1690e-06
ppb	0	31	4096	7.3831e-06
h2h	0	31	4096	4.0801e-06
ppnb	0	31	8192	1.6989e-05
ppb	0	31	8192	1.7114e-05
h2h	0	31	8192	1.0833e-05
ppnb	0	31	16384	1.9206e-05
ppb	0	31	16384	1.9407e-05
h2h	0	31	16384	1.2220e-05
ppnb	0	31	32768	2.3911e-05
ppb	0	31	32768	2.4124e-05
h2h	0	31	32768	1.5266e-05
ppnb	0	31	65536	3.4482e-05
ppb	0	31	65536	3.4607e-05
h2h	0	31	65536	2.0869e-05
ppnb	0	31	131072	5.3854e-05
ppb	0	31	131072	5.4057e-05
h2h	0	31	131072	3.3245e-05
ppnb	0	31	262144	9.3976e-05
ppb	0	31	262144	9.4337e-05
h2h	0	31	262144	5.6379e-05
ppnb	2	3	0	3.1600e-06
ppb	2	3	0	3.2101e-06
h2h	2	3	0	1.9028e-06
ppnb	2	3	4	3.1509e-06
ppb	2	3	4	3.4859e-06
h2h	2	3	4	2.0680e-06
ppnb	2	3	8	3.1490e-06
ppb	2	3	8	3.4840e-06
h2h	2	3	8	2.0051e-06
ppnb	2	3	16	3.1841e-06
ppb	2	3	16	3.4461e-06
h2h	2	3	16	2.0790e-06
ppnb	2	3	32	3.3491e-06
ppb	2	3	32	3.4730e-06
h2h	2	3	32	2.0609e-06
ppnb	2	3	64	3.3271e-06
ppb	2	3	64	3.4878e-06
h2h	2	3	64	2.0909e-06
ppnb	2	3	128	3.3600e-06
ppb	2	3	128	3.4821e-06
h2h	2	3	128	2.0890e-06
ppnb	2	3	256	3.4561e-06
ppb	2	3	256	3.5739e-06
h2h	2	3	256	2.1262e-06
ppnb	2	3	512	3.6850e-06
ppb	2	3	512	3.8338e-06
h2h	2	3	512	2.2440e-06
ppnb	2	3	1024	3.9461e-06
ppb	2	3	1024	4.0998e-06
h2h	2	3	1024	2.4390e-06
ppnb	2	3	2048	4.7321e-06
ppb	2	3	2048	4.9090e-06
h2h	2	3	2048	2.8090e-06
ppnb	2	3	4096	6.1209e-06
ppb	2	3	4096	6.2790e-06
h2h	2	3	4096	3.5710e-06
ppnb	2	3	8192	1.3927e-05
