
Inactive Modules:
  1) TBB

The following have been reloaded with a version change:
  1) Boost/1.47.0 => Boost/1.58.0     4) OpenMPI/1.4.3 => OpenMPI/1.10.0
  2) CMake/2.8.5 => CMake/3.1.0       5) R/2.15.1 => R/3.2.3
  3) GNU/4.4.5 => GNU/4.9

Running with 4 MPI processes
MPI wall clock resolution: 1.0000e-06 seconds

test	i	j	m	time
ppnb	0	1	0	7.9799e-07
ppb	0	1	0	8.3899e-07
h2h	0	1	0	4.8804e-07
ppnb	0	1	4	8.7190e-07
ppb	0	1	4	8.8096e-07
h2h	0	1	4	5.1093e-07
ppnb	0	1	8	8.7595e-07
ppb	0	1	8	8.7404e-07
h2h	0	1	8	5.1498e-07
ppnb	0	1	16	9.6893e-07
ppb	0	1	16	9.6917e-07
h2h	0	1	16	5.5289e-07
ppnb	0	1	32	9.7108e-07
ppb	0	1	32	9.9897e-07
h2h	0	1	32	5.6505e-07
ppnb	0	1	64	1.0669e-06
ppb	0	1	64	1.0729e-06
h2h	0	1	64	6.0296e-07
ppnb	0	1	128	1.2960e-06
ppb	0	1	128	1.3061e-06
h2h	0	1	128	7.0095e-07
ppnb	0	1	256	1.6201e-06
ppb	0	1	256	1.6069e-06
h2h	0	1	256	7.9393e-07
ppnb	0	1	512	1.7891e-06
ppb	0	1	512	1.8990e-06
h2h	0	1	512	9.6989e-07
ppnb	0	1	1024	2.1641e-06
ppb	0	1	1024	2.1520e-06
h2h	0	1	1024	1.4162e-06
ppnb	0	1	2048	3.0520e-06
ppb	0	1	2048	3.0789e-06
h2h	0	1	2048	1.9200e-06
ppnb	0	1	4096	5.2009e-06
ppb	0	1	4096	5.2500e-06
h2h	0	1	4096	3.3150e-06
ppnb	0	1	8192	8.3690e-06
ppb	0	1	8192	8.4140e-06
h2h	0	1	8192	5.2590e-06
ppnb	0	1	16384	1.3307e-05
ppb	0	1	16384	1.3379e-05
h2h	0	1	16384	7.7720e-06
ppnb	0	1	32768	2.2544e-05
ppb	0	1	32768	2.2567e-05
h2h	0	1	32768	1.2702e-05
ppnb	0	1	65536	3.5969e-05
ppb	0	1	65536	3.6221e-05
h2h	0	1	65536	2.3650e-05
ppnb	0	1	131072	6.3330e-05
ppb	0	1	131072	6.3437e-05
h2h	0	1	131072	4.8412e-05
ppnb	0	1	262144	1.1993e-04
ppb	0	1	262144	1.1975e-04
h2h	0	1	262144	9.5885e-05
ppnb	0	3	0	3.8841e-06
ppb	0	3	0	3.9501e-06
h2h	0	3	0	1.9720e-06
ppnb	0	3	4	3.9680e-06
ppb	0	3	4	4.0090e-06
h2h	0	3	4	2.0208e-06
ppnb	0	3	8	3.9909e-06
ppb	0	3	8	4.0309e-06
h2h	0	3	8	2.0461e-06
ppnb	0	3	16	4.0140e-06
ppb	0	3	16	4.0090e-06
h2h	0	3	16	2.0621e-06
ppnb	0	3	32	4.1070e-06
ppb	0	3	32	4.1790e-06
h2h	0	3	32	2.1019e-06
ppnb	0	3	64	4.6601e-06
ppb	0	3	64	4.7059e-06
h2h	0	3	64	2.3520e-06
ppnb	0	3	128	6.4380e-06
ppb	0	3	128	6.5038e-06
h2h	0	3	128	3.3100e-06
ppnb	0	3	256	7.0360e-06
ppb	0	3	256	7.1180e-06
h2h	0	3	256	3.6108e-06
ppnb	0	3	512	7.4770e-06
ppb	0	3	512	7.5111e-06
h2h	0	3	512	3.8209e-06
ppnb	0	3	1024	8.2309e-06
ppb	0	3	1024	8.2250e-06
h2h	0	3	1024	4.1912e-06
ppnb	0	3	2048	9.7411e-06
ppb	0	3	2048	9.8321e-06
h2h	0	3	2048	5.0120e-06
ppnb	0	3	4096	1.1366e-05
ppb	0	3	4096	1.1412e-05
h2h	0	3	4096	6.0210e-06
ppnb	0	3	8192	1.4522e-05
ppb	0	3	8192	1.4679e-05
h2h	0	3	8192	7.9548e-06
ppnb	0	3	16384	3.0094e-05
ppb	0	3	16384	3.0138e-05
h2h	0	3	16384	1.6209e-05
ppnb	0	3	32768	4.2401e-05
ppb	0	3	32768	4.2456e-05
h2h	0	3	32768	2.2919e-05
ppnb	0	3	65536	6.6812e-05
ppb	0	3	65536	6.6593e-05
h2h	0	3	65536	3.6255e-05
ppnb	0	3	131072	9.6824e-05
ppb	0	3	131072	9.5704e-05
h2h	0	3	131072	5.3128e-05
ppnb	0	3	262144	1.5243e-04
ppb	0	3	262144	1.5136e-04
h2h	0	3	262144	8.8535e-05
