
Inactive Modules:
  1) TBB

The following have been reloaded with a version change:
  1) Boost/1.47.0 => Boost/1.58.0     4) OpenMPI/1.4.3 => OpenMPI/1.10.0
  2) CMake/2.8.5 => CMake/3.1.0       5) R/2.15.1 => R/3.2.3
  3) GNU/4.4.5 => GNU/4.9

Running with 4 MPI processes
MPI wall clock resolution: 1.0000e-06 seconds

test	i	j	m	time
ppnb	0	1	0	4.2439e-06
ppb	0	1	0	4.2100e-06
h2h	0	1	0	2.1009e-06
ppnb	0	1	4	4.3392e-06
ppb	0	1	4	4.3139e-06
h2h	0	1	4	2.1360e-06
ppnb	0	1	8	4.2970e-06
ppb	0	1	8	4.2930e-06
h2h	0	1	8	2.1930e-06
ppnb	0	1	16	4.3120e-06
ppb	0	1	16	4.4470e-06
h2h	0	1	16	2.1820e-06
ppnb	0	1	32	4.5249e-06
ppb	0	1	32	4.4570e-06
h2h	0	1	32	2.2092e-06
ppnb	0	1	64	5.0099e-06
ppb	0	1	64	4.9019e-06
h2h	0	1	64	2.4550e-06
ppnb	0	1	128	6.7680e-06
ppb	0	1	128	6.7940e-06
h2h	0	1	128	3.4480e-06
ppnb	0	1	256	7.5071e-06
ppb	0	1	256	7.4689e-06
h2h	0	1	256	3.7599e-06
ppnb	0	1	512	7.9901e-06
ppb	0	1	512	8.0190e-06
h2h	0	1	512	4.1020e-06
ppnb	0	1	1024	8.7311e-06
ppb	0	1	1024	8.7249e-06
h2h	0	1	1024	4.4839e-06
ppnb	0	1	2048	1.0267e-05
ppb	0	1	2048	1.0381e-05
h2h	0	1	2048	5.3699e-06
ppnb	0	1	4096	1.1893e-05
ppb	0	1	4096	1.2028e-05
h2h	0	1	4096	6.3500e-06
ppnb	0	1	8192	1.5220e-05
ppb	0	1	8192	1.5282e-05
h2h	0	1	8192	8.3930e-06
ppnb	0	1	16384	3.2033e-05
ppb	0	1	16384	3.1898e-05
h2h	0	1	16384	1.7306e-05
ppnb	0	1	32768	4.5033e-05
ppb	0	1	32768	4.4021e-05
h2h	0	1	32768	2.4858e-05
ppnb	0	1	65536	7.0496e-05
ppb	0	1	65536	7.0190e-05
h2h	0	1	65536	3.6766e-05
ppnb	0	1	131072	9.8487e-05
ppb	0	1	131072	9.8621e-05
h2h	0	1	131072	5.8472e-05
ppnb	0	1	262144	1.5970e-04
ppb	0	1	262144	1.5704e-04
h2h	0	1	262144	9.3130e-05
ppnb	0	3	0	4.1790e-06
ppb	0	3	0	4.1740e-06
h2h	0	3	0	2.1269e-06
ppnb	0	3	4	4.2820e-06
ppb	0	3	4	4.1978e-06
h2h	0	3	4	2.1460e-06
ppnb	0	3	8	4.2169e-06
ppb	0	3	8	4.3361e-06
h2h	0	3	8	2.1892e-06
ppnb	0	3	16	4.3080e-06
ppb	0	3	16	4.3890e-06
h2h	0	3	16	2.2569e-06
ppnb	0	3	32	4.4861e-06
ppb	0	3	32	4.4379e-06
h2h	0	3	32	2.2590e-06
ppnb	0	3	64	4.9360e-06
ppb	0	3	64	5.0151e-06
h2h	0	3	64	2.5771e-06
ppnb	0	3	128	6.8259e-06
ppb	0	3	128	6.8631e-06
h2h	0	3	128	3.5071e-06
ppnb	0	3	256	7.5500e-06
ppb	0	3	256	7.5769e-06
h2h	0	3	256	3.8161e-06
ppnb	0	3	512	7.8859e-06
ppb	0	3	512	7.9970e-06
h2h	0	3	512	4.1499e-06
ppnb	0	3	1024	8.6370e-06
ppb	0	3	1024	8.5530e-06
h2h	0	3	1024	4.4701e-06
ppnb	0	3	2048	1.0362e-05
ppb	0	3	2048	1.0315e-05
h2h	0	3	2048	5.2531e-06
ppnb	0	3	4096	1.1970e-05
ppb	0	3	4096	1.1928e-05
h2h	0	3	4096	6.2351e-06
ppnb	0	3	8192	1.4627e-05
ppb	0	3	8192	1.4916e-05
h2h	0	3	8192	8.2078e-06
ppnb	0	3	16384	3.0889e-05
ppb	0	3	16384	3.1564e-05
h2h	0	3	16384	1.7320e-05
ppnb	0	3	32768	4.5095e-05
ppb	0	3	32768	4.4881e-05
h2h	0	3	32768	2.4438e-05
ppnb	0	3	65536	7.0167e-05
ppb	0	3	65536	7.0909e-05
h2h	0	3	65536	3.7548e-05
ppnb	0	3	131072	9.9553e-05
ppb	0	3	131072	9.9315e-05
h2h	0	3	131072	5.6954e-05
ppnb	0	3	262144	1.6051e-04
ppb	0	3	262144	1.6277e-04
h2h	0	3	262144	9.5740e-05
ppnb	2	3	0	4.1270e-06
ppb	2	3	0	4.1108e-06
h2h	2	3	0	2.0671e-06
ppnb	2	3	4	4.2379e-06
ppb	2	3	4	4.1862e-06
h2h	2	3	4	2.1050e-06
ppnb	2	3	8	4.2481e-06
ppb	2	3	8	4.2560e-06
h2h	2	3	8	2.0981e-06
ppnb	2	3	16	4.2999e-06
ppb	2	3	16	4.2770e-06
h2h	2	3	16	2.1319e-06
ppnb	2	3	32	4.3240e-06
ppb	2	3	32	4.3399e-06
h2h	2	3	32	2.1830e-06
ppnb	2	3	64	4.8649e-06
ppb	2	3	64	4.8420e-06
h2h	2	3	64	2.4569e-06
ppnb	2	3	128	6.6760e-06
ppb	2	3	128	6.9251e-06
h2h	2	3	128	3.4420e-06
ppnb	2	3	256	7.4561e-06
ppb	2	3	256	7.3581e-06
h2h	2	3	256	3.7501e-06
ppnb	2	3	512	7.7691e-06
ppb	2	3	512	7.6649e-06
h2h	2	3	512	4.0240e-06
ppnb	2	3	1024	8.3330e-06
ppb	2	3	1024	8.4100e-06
h2h	2	3	1024	4.4019e-06
ppnb	2	3	2048	1.0121e-05
ppb	2	3	2048	1.0200e-05
h2h	2	3	2048	5.2621e-06
ppnb	2	3	4096	1.1819e-05
ppb	2	3	4096	1.1906e-05
h2h	2	3	4096	6.3479e-06
ppnb	2	3	8192	1.4925e-05
ppb	2	3	8192	1.5074e-05
h2h	2	3	8192	8.3191e-06
ppnb	2	3	16384	3.1531e-05
ppb	2	3	16384	3.1678e-05
h2h	2	3	16384	1.7304e-05
ppnb	2	3	32768	4.3478e-05
